"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"797","Cluster_4425","evm.TU.chromosome_10.958",0.442153681313979,0.0580260411644239,0.595213545228176,153,-24.65,"2 20","67 87",18,"72.22%","77.78%","sp|Q27084|TAL2_TACTR",1.62e-67,"Tachylectin-2 OS=Tachypleus tridentatus PE=1 SV=1","tr|A7SDD2|A7SDD2_NEMVE",1.84e-120,"Predicted protein OS=Nematostella vectensis GN=v1g114158 PE=1 SV=1","ref|XP_020609133.1|",1.84e-121,"uncharacterized protein LOC110047734 [Orbicella faveolata]","GO:0005576; GO:0030246; GO:0045087",""
"798","Cluster_860","evm.TU.chromosome_4.2427",-0.37646236581672,0.112139184712096,0.69296960528337,173,-21.75,"2 18","749 770",16,"87.50%","93.75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","Cluster_4425","evm.TU.chromosome_10.1317",-0.0349761752121958,0.886961406871448,0.984336139277556,142,-21.75,"2 20","568 596",25,"60.00%","64.00%","sp|P81900|KAPR2_DROME",2.14e-08,"cAMP-dependent protein kinase type II regulatory subunit OS=Drosophila melanogaster GN=Pka-R2 PE=1 SV=2","tr|A0A2B4SAN1|A0A2B4SAN1_STYPI",0,"cAMP-dependent protein kinase regulatory subunit OS=Stylophora pistillata GN=pkar PE=4 SV=1","ref|XP_020611726.1|",0,"uncharacterized protein LOC110050178 [Orbicella faveolata]","GO:0005952; GO:0005737; GO:0005886; GO:0030552; GO:0008603; GO:0007411; GO:0048148; GO:0048149; GO:0007623; GO:0045475; GO:0007622","GO:0016301"
"800","Cluster_9205","evm.TU.chromosome_2.1349",0.162790036444106,0.505490215014344,0.90389991087877,154,-20.07,"2 20","7 31",21,"66.67%","76.19%","sp|P53545|GSC_CHICK",1.7e-17,"Homeobox protein goosecoid OS=Gallus gallus GN=GSC PE=2 SV=1","tr|A0A2B4SYG0|A0A2B4SYG0_STYPI",2.39e-30,"Homeobox protein aristaless OS=Stylophora pistillata GN=al PE=4 SV=1","ref|XP_015768340.1|",1.49e-32,"PREDICTED: retina and anterior neural fold homeobox protein 2-like [Acropora digitifera]","GO:0005634; GO:0043565; GO:0007275; GO:0006355","GO:0005634; GO:0043565; GO:0006355"
"801","Cluster_2097","evm.TU.chromosome_14.545",0.251534708539537,0.298896773243084,0.832549838836134,142,-20.14,"2 20","402 431",26,"61.54%","61.54%","sp|F1MHT9|NLRC4_BOVIN",3.17e-13,"NLR family CARD domain-containing protein 4 OS=Bos taurus GN=NLRC4 PE=3 SV=3","tr|A0A2B4S712|A0A2B4S712_STYPI",0,"NACHT, LRR and PYD domains-containing protein 12 OS=Stylophora pistillata GN=Nlrp12 PE=4 SV=1","ref|XP_020612518.1|",0,"uncharacterized protein LOC110050886 [Orbicella faveolata]","GO:0005829; GO:0072557; GO:0005634; GO:0005524; GO:0043027; GO:0004842; GO:0002218; GO:0042742; GO:0016045; GO:0006954; GO:1990001; GO:0045087; GO:0050702; GO:0051260; GO:0070269; GO:0009966","GO:0007165"
"802","Cluster_4425","evm.TU.chromosome_5.2647",0.23301802256173,0.337029158044765,0.849280630214424,152,-20.67,"2 13","652 673",11,"81.82%","100.00%","sp|Q9NZV1|CRIM1_HUMAN",8.83e-11,"Cysteine-rich motor neuron 1 protein OS=Homo sapiens GN=CRIM1 PE=1 SV=1","tr|A0A2B4SQ34|A0A2B4SQ34_STYPI",3.58e-170,"Cysteine-rich motor neuron 1 protein OS=Stylophora pistillata GN=CRIM1 PE=4 SV=1","ref|XP_020620695.1|",0,"cysteine-rich motor neuron 1 protein-like [Orbicella faveolata]","GO:0070062; GO:0016021; GO:0005886; GO:0005520; GO:0005010; GO:0030165; GO:0004867; GO:0007399; GO:0001558","GO:0005576; GO:0005520; GO:0001558"
"803","Cluster_1452","evm.TU.chromosome_8.2274",0.518061855274724,0.0230763132722757,0.463021743054989,161,-24.13,"2 21","911 933",21,"76.19%","80.95%",NA,NA,NA,"tr|A0A2B4RR51|A0A2B4RR51_STYPI",3.09e-68,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene15922 PE=4 SV=1","ref|XP_020606672.1|",1.65e-157,"uncharacterized protein LOC110045414 isoform X1 [Orbicella faveolata]",NA,"GO:0016021"
"804","Cluster_1453","evm.TU.chromosome_6.2246",0.0961779791318389,0.695295334122274,0.949729594547168,164,-22.45,"2 21","752 773",19,"73.68%","78.95%","sp|Q9EPN1|NBEA_MOUSE",0,"Neurobeachin OS=Mus musculus GN=Nbea PE=1 SV=1","tr|A0A2B4SU96|A0A2B4SU96_STYPI",0,"Lipopolysaccharide-responsive and beige-like anchor protein OS=Stylophora pistillata GN=LRBA PE=4 SV=1","ref|XP_020619949.1|",0,"neurobeachin-like [Orbicella faveolata]","GO:0030054; GO:0005829; GO:0012505; GO:0005886; GO:0045211; GO:0005802; GO:0051018; GO:0019901; GO:0006892; GO:0008104; GO:0006605",""
"805","Cluster_492","evm.TU.chromosome_10.797",-0.0336176629910895,0.891326674977421,0.984973746961243,158,-22.07,"2 19","760 781",17,"70.59%","82.35%","sp|Q5JXC2|MIIP_HUMAN",6.94e-32,"Migration and invasion-inhibitory protein OS=Homo sapiens GN=MIIP PE=1 SV=3","tr|A0A2B4RJ65|A0A2B4RJ65_STYPI",0,"Migration and invasion-inhibitory protein OS=Stylophora pistillata GN=Miip PE=4 SV=1","ref|XP_015751932.1|",0,"PREDICTED: migration and invasion-inhibitory protein-like isoform X1 [Acropora digitifera]","GO:0030336; GO:0010972","GO:0030336; GO:0010972"
"806","Cluster_4696","evm.TU.chromosome_10.569",-0.211279768772067,0.385236893336547,0.867325468588342,160,-20.54,"2 21","11 32",19,"68.42%","78.95%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807","Cluster_1453","evm.TU.chromosome_12.998",0.06954172959969,0.777262099664457,0.965876579860935,157,-20.12,"2 14","254 275",12,"91.67%","91.67%",NA,NA,NA,"tr|A0A2B4SJH3|A0A2B4SJH3_STYPI",0,"Kinesin heavy chain OS=Stylophora pistillata GN=kin PE=4 SV=1","ref|XP_020606895.1|",0,"kinesin-like protein KIF15 [Orbicella faveolata]",NA,"GO:0005524; GO:0008017; GO:0003777; GO:0007018"
"808","Cluster_4425","evm.TU.chromosome_7.81",-0.464602877795429,0.0450578147023131,0.557756387867181,145,-20.61,"2 20","540 557",18,"72.22%","77.78%","sp|Q06138|CAB39_MOUSE",2.22e-145,"Calcium-binding protein 39 OS=Mus musculus GN=Cab39 PE=1 SV=2","tr|A0A2B4SY69|A0A2B4SY69_STYPI",7.13e-164,"Calcium-binding protein 39 OS=Stylophora pistillata GN=CAB39 PE=4 SV=1","ref|XP_022790560.1|",4.11e-171,"calcium-binding protein 39-like [Stylophora pistillata]","GO:0005737; GO:0043234; GO:0005509; GO:0019900; GO:0030295; GO:0043539; GO:0004674; GO:0032147; GO:0035556; GO:0018105; GO:0010800; GO:0071902; GO:0051291; GO:0023014",""
"809","Cluster_508","evm.TU.chromosome_7.84",-0.25545214934769,0.291179725334224,0.829124154377107,164,-20.62,"2 18","661 683",17,"82.35%","88.24%","sp|O18334|RAB6_DROME",2.1e-132,"Ras-related protein Rab6 OS=Drosophila melanogaster GN=Rab6 PE=1 SV=1","tr|A0A1S3I222|A0A1S3I222_LINUN",2.62e-135,"ras-related protein Rab6 isoform X2 OS=Lingula unguis GN=LOC106160287 PE=4 SV=1","ref|XP_020601589.1|",1.62e-150,"ras-related protein Rab6 [Orbicella faveolata]","GO:0030054; GO:0031410; GO:0005829; GO:0005794; GO:0000139; GO:0043025; GO:0043204; GO:0045202; GO:0031982; GO:0003779; GO:0005525; GO:0003924; GO:0007411; GO:0001745; GO:0050832; GO:0006887; GO:0007293; GO:0006891; GO:0008103; GO:0007602; GO:0045451; GO:0045467; GO:0032482; GO:0060078; GO:0042147; GO:0006890; GO:0016192","GO:0005525; GO:0003924"
"810","Cluster_4640","evm.TU.chromosome_7.88",-0.146648940291336,0.549116207325614,0.915870148504712,163,-20.17,"2 18","729 749",16,"87.50%","87.50%","sp|P19984|PROF2_ACACA",1.44e-25,"Profilin-2 OS=Acanthamoeba castellanii PE=1 SV=3","tr|A0A2B4S7H2|A0A2B4S7H2_STYPI",1.48e-74,"Profilin-2 OS=Stylophora pistillata GN=3 PE=4 SV=1","gb|PFX24462.1|",2.3e-74,"profilin-2-like [Stylophora pistillata]","GO:0005737; GO:0005856; GO:0003779","GO:0005856; GO:0003779"
"811","Cluster_1453","evm.TU.chromosome_8.1613",-0.114484219796596,0.640724248863721,0.93805506150315,153,-21.79,"2 20","743 763",18,"72.22%","77.78%","sp|Q8CB19|PHTF2_MOUSE",3.97e-117,"Putative homeodomain transcription factor 2 OS=Mus musculus GN=Phtf2 PE=1 SV=2","tr|A0A2B4RQ05|A0A2B4RQ05_STYPI",0,"Putative homeodomain transcription factor 2 OS=Stylophora pistillata GN=PHTF2 PE=4 SV=1","gb|PFX19691.1|",0,"putative homeodomain transcription factor 2 [Stylophora pistillata]","GO:0005783; GO:0005634; GO:0003677; GO:0006355; GO:0006351","GO:0016021; GO:0003677"
"812","Cluster_3293","evm.TU.chromosome_12.1488",-0.224000986004973,0.356579618288326,0.857152984016662,147,-22.56,"2 20","314 335",21,"66.67%","76.19%","sp|Q9XSM3|TRPV5_RABIT",1.92e-53,"Transient receptor potential cation channel subfamily V member 5 OS=Oryctolagus cuniculus GN=Trpv5 PE=1 SV=1","tr|A7SGQ7|A7SGQ7_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g170467 PE=3 SV=1","ref|XP_020623877.1|",0,"transient receptor potential cation channel subfamily V member 5-like [Orbicella faveolata]","GO:0016324; GO:0005887; GO:0005262; GO:0005516; GO:0046872; GO:0055074; GO:0006816; GO:0051262; GO:0035809","GO:0005887; GO:0005262"
"813","Cluster_3730","evm.TU.chromosome_12.1482",-0.0205963355159831,0.933302274769518,0.991017741629149,167,-21.77,"2 21","451 473",20,"75.00%","85.00%","sp|Q05940|VMAT2_HUMAN",5.31e-112,"Synaptic vesicular amine transporter OS=Homo sapiens GN=SLC18A2 PE=1 SV=2","tr|A0A2B4SMP9|A0A2B4SMP9_STYPI",0,"Synaptic vesicular amine transporter OS=Stylophora pistillata GN=Slc18a2 PE=4 SV=1","ref|XP_020623737.1|",0,"synaptic vesicular amine transporter-like isoform X1 [Orbicella faveolata]","GO:0070083; GO:0005887; GO:0016020; GO:0005886; GO:0008021; GO:0008504; GO:0015222; GO:0015842; GO:0007268; GO:0015872; GO:0007626; GO:0015844; GO:1903427; GO:0098700; GO:0007269; GO:0009791; GO:0001975; GO:0042137","GO:0016021; GO:0055085"
"814","Cluster_2003","evm.TU.chromosome_3.1585",-0.173080664344625,0.478573378015744,0.896234527807279,152,-20.75,"2 21","70 91",19,"63.16%","73.68%","sp|Q8CE72|CE042_MOUSE",2.02e-53,"Protein JBTS17 OS=Mus musculus GN=Jbts17 PE=1 SV=4","tr|A0A2B4SG59|A0A2B4SG59_STYPI",9.28e-147,"Uncharacterized protein C5orf42-like OS=Stylophora pistillata GN=4 PE=4 SV=1","ref|XP_020628491.1|",0,"uncharacterized protein LOC110065671 [Orbicella faveolata]","GO:0035869; GO:0016021; GO:0003279; GO:0021549; GO:0060271; GO:0060976; GO:0042733; GO:0001736; GO:0007507; GO:0001822; GO:0060021; GO:1904491; GO:0003281",""
"815","Cluster_9082","evm.TU.chromosome_3.1584",0.14051540632879,0.566123405569348,0.920285630411658,162,-20.07,"2 20","85 109",21,"76.19%","76.19%","sp|Q561T9|OBRG_DANRE",4.39e-45,"Leptin receptor gene-related protein OS=Danio rerio GN=leprot PE=2 SV=1","tr|A7RQU5|A7RQU5_NEMVE",4.56e-65,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g90331 PE=4 SV=1","ref|XP_022785264.1|",4.67e-73,"leptin receptor gene-related protein-like [Stylophora pistillata]","GO:0005768; GO:0010008; GO:0000139; GO:0016021; GO:0005102; GO:0032511; GO:0060400; GO:0046426; GO:2000009","GO:0005768; GO:0016021; GO:0032511; GO:2000009"
"816","Cluster_3044","evm.TU.chromosome_2.729",-0.357679248888244,0.132710332256412,0.717803782372937,171,-20.02,"2 21","94 116",20,"80.00%","85.00%",NA,NA,NA,"tr|A0A2B4SNI0|A0A2B4SNI0_STYPI",9.17e-71,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5284 PE=4 SV=1","ref|XP_020602097.1|",6.98e-144,"uncharacterized protein LOC110041159 [Orbicella faveolata]",NA,"GO:0016021"
"817","Cluster_4831","evm.TU.chromosome_14.5787",-0.140313053955428,0.566688379799611,0.920406471711771,162,-22.87,"2 20","799 821",19,"78.95%","78.95%","sp|P0C862|C1T9A_HUMAN",8.46e-13,"Complement C1q and tumor necrosis factor-related protein 9A OS=Homo sapiens GN=C1QTNF9 PE=1 SV=1","tr|A0A2B4S083|A0A2B4S083_STYPI",6.59e-39,"Latrophilin-3 OS=Stylophora pistillata GN=LPHN3 PE=4 SV=1","ref|XP_020600780.1|",1.84e-58,"collagen triple helix repeat-containing protein 1-like [Orbicella faveolata]","GO:0005581; GO:0005576; GO:0005179; GO:0042802","GO:0016021; GO:0004930; GO:0005525; GO:0007166"
"818","Cluster_1453","evm.TU.chromosome_14.5780",-0.4544413649209,0.050619962342792,0.575009858874661,147,-20.48,"2 18","600 623",18,"66.67%","83.33%","sp|Q91717|CO2A1_XENLA",6.72e-08,"Collagen alpha-1(II) chain OS=Xenopus laevis GN=col2a1 PE=2 SV=2","tr|A0A2B4T144|A0A2B4T144_STYPI",5.33e-21,"Collagen triple helix repeat-containing protein 1 OS=Stylophora pistillata GN=CTHRC1 PE=4 SV=1","ref|XP_020625674.1|",8.28e-26,"collagen triple helix repeat-containing protein 1-like [Orbicella faveolata]","GO:0005581; GO:0005578; GO:0005201; GO:0046872","GO:0005581"
"819","Cluster_3293","evm.TU.chromosome_5.86",0.0866221929859441,0.724382454931018,0.955852019684842,150,-20.3,"2 20","466 487",19,"68.42%","73.68%","sp|Q6NVC5|MIRO1_DANRE",0,"Mitochondrial Rho GTPase 1-A OS=Danio rerio GN=rhot1a PE=2 SV=1","tr|A0A2B4RKB5|A0A2B4RKB5_STYPI",0,"Mitochondrial Rho GTPase 1-A OS=Stylophora pistillata GN=rhot1a PE=4 SV=1","ref|XP_022804442.1|",0,"mitochondrial Rho GTPase 1-A-like [Stylophora pistillata]","GO:0031307; GO:0005739; GO:0005509; GO:0005525; GO:0003924; GO:0019725; GO:0097345; GO:0047497","GO:0005525; GO:0003924"
"820","Cluster_3293","evm.TU.chromosome_5.85",0.0163992901013995,0.94687308278922,0.992893157313252,150,-20.3,"2 20","727 748",19,"68.42%","73.68%",NA,NA,NA,NA,NA,NA,"ref|XP_022804441.1|",1.12e-93,"uncharacterized protein LOC111341717 [Stylophora pistillata]",NA,NA
"821","Cluster_1192","evm.TU.chromosome_5.84",0.0714286656085292,0.771369389301627,0.964769684469545,163,-20.29,"2 21","109 132",21,"76.19%","76.19%","sp|P62244|RS15A_HUMAN",2.55e-79,"40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2","tr|A0A2B4S0N6|A0A2B4S0N6_STYPI",8.82e-82,"DNA-directed RNA polymerase III subunit RPC8 OS=Stylophora pistillata GN=POLR3H PE=4 SV=1","ref|XP_022795432.1|",9.43e-88,"40S ribosomal protein S15Aa-like [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0022627; GO:0070062; GO:0031012; GO:0016020; GO:0005739; GO:0005654; GO:0003723; GO:0003735; GO:0000184; GO:0045787; GO:0008284; GO:0009615; GO:0006364; GO:0006614; GO:0006412; GO:0006413; GO:0019083","GO:0005840; GO:0003677; GO:0003899; GO:0003735; GO:0006351; GO:0006412"
"822","Cluster_3406","evm.TU.chromosome_12.2684",-0.164959647568669,0.499755730930079,0.902308501821243,154,-20.15,"2 18","398 419",17,"82.35%","82.35%","sp|P14416|DRD2_HUMAN",7.83e-10,"D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2","tr|A7SD06|A7SD06_NEMVE",2.69e-96,"Predicted protein OS=Nematostella vectensis GN=v1g244403 PE=4 SV=1","ref|XP_020604676.1|",0,"adenosine receptor A3-like [Orbicella faveolata]","GO:0001669; GO:0030424; GO:0043679; GO:0060170; GO:0030425; GO:0043197; GO:0030139; GO:0005887; GO:0005622; GO:0016328; GO:0097730; GO:0043204; GO:0005886; GO:0014069; GO:0036126; GO:0030672; GO:0035240; GO:0001591; GO:0008144; GO:0042802; GO:0035255; GO:0015459; GO:0046982; GO:0042803; GO:0032147; GO:0021984; GO:0007195; GO:0007628; GO:0050482; GO:0008306; GO:0031223; GO:0007409; GO:0048148; GO:0048149; GO:0048755; GO:0006874; GO:0021853; GO:0032922; GO:0042417; GO:0060079; GO:0007631; GO:0002031; GO:0007186; GO:0007625; GO:0035556; GO:0007626; GO:0007616; GO:0007194; GO:0045776; GO:0030336; GO:0008285; GO:0042321; GO:0051481; GO:0060160; GO:0033602; GO:0045824; GO:0046676; GO:0051898; GO:0050709; GO:0051967; GO:1901386; GO:0001976; GO:0007270; GO:0021769; GO:0030432; GO:0060158; GO:0043473; GO:0032467; GO:0051482; GO:0051586; GO:0070374; GO:0045745; GO:1900168; GO:0060124; GO:1900273; GO:0040018; GO:0002052; GO:0002092; GO:0035815; GO:0045944; GO:0035810; GO:0060134; GO:0008104; GO:0014059; GO:0051584; GO:0002027; GO:0090325; GO:0048169; GO:0043666; GO:0043266; GO:0002028; GO:0051823; GO:0032228; GO:0051209; GO:0001975; GO:0048678; GO:0042220; GO:0042493; GO:0034776; GO:0001666; GO:0014854; GO:0010039; GO:0009416; GO:0043278; GO:0035094; GO:0009636; GO:0007608; GO:0021756; GO:0007416; GO:0001963; GO:0001659; GO:0008542; GO:0016055","GO:0016021; GO:0004930"
"823","Cluster_1452","evm.TU.chromosome_7.1678",-0.121541836760423,0.620129990551193,0.93322400676281,155,-20.12,"2 21","62 80",19,"78.95%","78.95%","sp|Q5GFL6|VWA2_HUMAN",7.38e-14,"von Willebrand factor A domain-containing protein 2 OS=Homo sapiens GN=VWA2 PE=1 SV=1","tr|A0A2B4S0M0|A0A2B4S0M0_STYPI",1.45e-170,"Collagen alpha-1(XIV) chain OS=Stylophora pistillata GN=Col14a1 PE=4 SV=1","ref|XP_020629401.1|",0,"uncharacterized protein LOC110066519 [Orbicella faveolata]","GO:0005604; GO:0070062; GO:0005615; GO:0005509; GO:0042802; GO:0007161; GO:0051260; GO:0046626","GO:0005604; GO:0005581; GO:0005615"
"824","Cluster_3037","evm.TU.chromosome_2.316",0.227195282627828,0.349580965011489,0.854526886648816,151,-20.21,"2 20","732 752",18,"66.67%","72.22%","sp|B9DFR3|PAE9_ARATH",4.85e-77,"Pectin acetylesterase 9 OS=Arabidopsis thaliana GN=PAE9 PE=2 SV=1","tr|A0A2B4S675|A0A2B4S675_STYPI",0,"Protein notum-like OS=Stylophora pistillata GN=Notum PE=4 SV=1","gb|PFX24549.1|",0,"Protein notum-like [Stylophora pistillata]","GO:0005576; GO:0009505; GO:0052793; GO:0071555","GO:0016787; GO:0046872"
"825","Cluster_4640","evm.TU.chromosome_10.1295",0.468930553077332,0.0428363447927034,0.5498730582293,162,-21.33,"2 20","818 841",20,"70.00%","85.00%",NA,NA,NA,"tr|A0A2B4S9S9|A0A2B4S9S9_STYPI",2.63e-146,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene9203 PE=4 SV=1","ref|XP_020621906.1|",0,"uncharacterized protein LOC110059539 [Orbicella faveolata]",NA,"GO:0016021"
"826","Cluster_4640","evm.TU.chromosome_10.1296",0.0657067485185248,0.789273992838255,0.96796353216623,162,-21.33,"2 20","581 604",20,"70.00%","85.00%","sp|Q9YHY6|CND1_XENLA",0,"Condensin complex subunit 1 OS=Xenopus laevis GN=ncapd2 PE=1 SV=1","tr|A0A2B4SCH0|A0A2B4SCH0_STYPI",0,"Condensin complex subunit 1 OS=Stylophora pistillata GN=ncapd2 PE=4 SV=1","ref|XP_022789842.1|",0,"condensin complex subunit 1-like isoform X2 [Stylophora pistillata]","GO:0005694; GO:0005829; GO:0005634; GO:0051301; GO:0007076","GO:0005634; GO:0007076"
"827","Cluster_1453","evm.TU.chromosome_9.2873",-0.0462672255105672,0.850811873157378,0.978515130606132,158,-22.92,"2 21","932 957",23,"73.91%","73.91%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828","Cluster_2003","evm.TU.chromosome_9.2877",-0.0791684866709096,0.747327047636148,0.960244706715965,156,-21.91,"2 19","659 684",21,"76.19%","76.19%",NA,NA,NA,"tr|A0A2B4STE9|A0A2B4STE9_STYPI",4e-17,"Aspartate--tRNA ligase, cytoplasmic OS=Stylophora pistillata GN=DARS PE=4 SV=1","gb|PFX33181.1|",6.19e-17,"Aspartate--tRNA ligase, cytoplasmic [Stylophora pistillata]",NA,"GO:0005737; GO:0004815; GO:0005524; GO:0006422"
"829","Cluster_2003","evm.TU.chromosome_9.2878",-0.220816150435619,0.363636721569033,0.859645124498084,156,-21.91,"2 19","416 441",21,"76.19%","76.19%","sp|P25787|PSA2_HUMAN",3.1e-148,"Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2","tr|A0A2B4SWD0|A0A2B4SWD0_STYPI",1.36e-173,"Proteasome subunit alpha type-2 OS=Stylophora pistillata GN=PSMA2 PE=4 SV=1","ref|XP_020616403.1|",1.08e-173,"proteasome subunit alpha type-2 [Orbicella faveolata]","GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0005654; GO:0005634; GO:0000932; GO:0000502; GO:0005839; GO:0019773; GO:0034774; GO:0004298; GO:0031145; GO:0002479; GO:0038095; GO:0070498; GO:0000165; GO:0090090; GO:0010972; GO:0051436; GO:0043312; GO:0038061; GO:0090263; GO:0051437; GO:0043687; GO:0043161; GO:0016579; GO:0000209; GO:0006521; GO:1902036; GO:0043488; GO:0061418; GO:0009615; GO:0031146; GO:0002223; GO:0050852; GO:0055085; GO:0033209; GO:0060071","GO:0005737; GO:0005634; GO:0019773; GO:0004298; GO:0006511"
"830","Cluster_4640","evm.TU.chromosome_13.1956",-0.0893326913674037,0.716093116202399,0.954209970553585,158,-22.6,"2 21","332 355",21,"76.19%","76.19%",NA,NA,NA,"tr|W4YBG1|W4YBG1_STRPU",5.36e-125,"Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1","ref|XP_015747850.1|",0,"PREDICTED: uncharacterized protein LOC107327618 [Acropora digitifera]",NA,""
"831","Cluster_2097","evm.TU.chromosome_5.2367",-0.48615014580542,0.0348188044249968,0.520051870759156,170,-22.54,"2 20","879 902",20,"80.00%","85.00%","sp|Q24155|TRUNK_DROME",3.7e-20,"Protein trunk OS=Drosophila melanogaster GN=trk PE=3 SV=1","tr|A0A2B4SQY1|A0A2B4SQY1_STYPI",1.71e-97,"Protein trunk OS=Stylophora pistillata GN=trk PE=4 SV=1","gb|PFX31008.1|",2.65e-97,"protein trunk-like isoform X6 [Stylophora pistillata]","GO:0005576; GO:0005122; GO:0008595; GO:0008358; GO:0007362; GO:0008293",""
"832","Cluster_3037","evm.TU.chromosome_13.117",-0.282616195323389,0.241054429031296,0.802502440097375,154,-22.69,"2 20","397 418",19,"73.68%","73.68%","sp|Q3U1D0|LINES_MOUSE",4.83e-11,"Protein Lines homolog 1 OS=Mus musculus GN=Lins1 PE=1 SV=2","tr|A0A2B4T0V7|A0A2B4T0V7_STYPI",1.01e-165,"Protein Lines-like OS=Stylophora pistillata GN=Lins PE=4 SV=1","ref|XP_020621159.1|",0,"uncharacterized protein LOC110058836 [Orbicella faveolata]","GO:0050890",""
"833","Cluster_3406","evm.TU.chromosome_4.183",-0.344503408323574,0.148636689353275,0.734464416086634,159,-20.49,"2 21","779 801",20,"70.00%","80.00%",NA,NA,NA,"tr|A0A2B4SK04|A0A2B4SK04_STYPI",1.56e-55,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5549 PE=4 SV=1","ref|XP_022783973.1|",2.56e-63,"uncharacterized protein LOC111324629 [Stylophora pistillata]",NA,""
"834","Cluster_4831","evm.TU.chromosome_1.1017",-0.215362672892493,0.375903316654937,0.864124467250035,172,-21.52,"2 17","356 377",15,"93.33%","93.33%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835","Cluster_4425","evm.TU.chromosome_9.2461",0.178815577348134,0.463888399063348,0.891932769001813,145,-20.61,"2 20","692 709",18,"72.22%","77.78%","sp|Q9BZE4|NOG1_HUMAN",0,"Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3","tr|A7RHM9|A7RHM9_NEMVE",0,"Nucleolar GTP-binding protein 1 OS=Nematostella vectensis GN=v1g228024 PE=3 SV=1","ref|XP_022792747.1|",0,"nucleolar GTP-binding protein 1-like [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0005794; GO:0016020; GO:0031965; GO:0005730; GO:0005634; GO:0048471; GO:0005525; GO:0003924; GO:0003723; GO:0000463; GO:0030336; GO:0008285; GO:0022408; GO:0033342; GO:0008156; GO:0031397; GO:0001649; GO:0050821; GO:0000079","GO:0005730; GO:0005525; GO:0042254"
"836","Cluster_3293","evm.TU.chromosome_12.3131",-0.134268501295998,0.58367698698327,0.924846566460856,177,-29.2,"2 20","156 175",18,"88.89%","94.44%",NA,NA,NA,"tr|A0A2B4SSY2|A0A2B4SSY2_STYPI",1.07e-35,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene3639 PE=4 SV=1","ref|XP_020614548.1|",1.15e-60,"uncharacterized protein LOC110052729 [Orbicella faveolata]",NA,""
"837","Cluster_9000","evm.TU.chromosome_12.3130",0.00880683127485049,0.971455859046998,0.996342658226272,161,-22.51,"2 14","486 507",12,"91.67%","100.00%",NA,NA,NA,"tr|A0A2B4SNR7|A0A2B4SNR7_STYPI",1.71e-49,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene3642 PE=4 SV=1","ref|XP_020614522.1|",1.35e-67,"UPF0547 protein C16orf87 homolog [Orbicella faveolata]",NA,"GO:0003676"
"838","Cluster_1452","evm.TU.chromosome_9.2799",0.337178831815878,0.15804109617342,0.743478307835094,156,-20.27,"2 21","38 58",20,"75.00%","80.00%","sp|Q6P4K6|S11IP_XENTR",1.86e-51,"Serine/threonine-protein kinase 11-interacting protein OS=Xenopus tropicalis GN=stk11ip PE=2 SV=1","tr|A0A2B4RS53|A0A2B4RS53_STYPI",0,"Serine/threonine-protein kinase 11-interacting protein OS=Stylophora pistillata GN=stk11ip PE=4 SV=1","ref|XP_020625065.1|",0,"serine/threonine-protein kinase 11-interacting protein-like [Orbicella faveolata]","GO:0005737","GO:0016021; GO:0005622; GO:0004930; GO:0016301; GO:0035556"
